user_id,num_levels_completed,returns,total_time_played,active_time,abtest_value
HGjDgX1EbEKpfM2kVhmZIs0nyISPitThMEsWEYt7,6,0,300,300,2
hgW2JXdYF20iGXH3rvjOgR6eNFefo14M8WUQm2F7,4,0,360,360,2
hjZfVaXVYTCCndPIWUYEC0tWjWBUDbpksKRWV2NZ,6,0,360,360,2
hKIPk27P1ECUvJpbiDxZtBsck6Mk8TvJHYCqTGeU,6,1,210,210,2
HmWFBAiPf6DJEEogrP57eW5Jv3N3zx2QTMtmpQzF,5,0,510,510,2
HSBetrKXBkfa6csjiDmpEJCADzm1Vnr30UFvniIa,3,0,240,240,2
hTQZQ20H5acz3Lm8dklYyXQPaTBBWEaQGDMeV1tW,1,0,60,60,1
hUfday2JKm40ZQp0HPejvgfhodyCYREQe5fFW3v4,0,0,0,0,1
HV40uFN88s4XiLNBJcIIgjYQ838Tx5ktJqvRIw22,0,0,30,30,2
hxmnshoSn4uq6C6yCYczvre1SLvQpI3ov8TGImzE,13,0,1890,1230,2
HY8lDVcAZiboBDPHKzteDMGSjX3NArfiYVPWJ76u,1,0,30,30,2
hYUmptJPNBASUmhRMoZLE8U3Bsg2CuR0YuZ0czlD,0,0,30,30,2
hyXUr6lxaWZCEGDqrnQd6Xw7tVTREr7bOSxBhqd0,2,0,90,90,1
HYy4bV8dwCkoQmXYdzHQU8G5rkZiUmdvITqCHjqh,10,0,600,600,1
i2WjqSICsmF3VWP0kOWIiBCfESFiFYaS4vMLHJuh,0,0,30,30,2
icyoEEuP8M6sebQEvoOL0nH4yBBY0rZ73wj7zw8N,8,0,330,330,2
IeDPO7PPYJIg1XIi7ATrryHBAEudaw5yvfSTTEq4,3,0,210,210,1
iEHLUJvXvqbzlL0pfAMX3gb0Dd6F8eS4zqFk3GYw,15,0,960,960,1
iemVm3aoqDgGNGoQ5tyZHo4OvQa8ZnWsQwsUD36M,1,0,60,60,1
ilAljVkIaI31np2srtjMe1ANd0rhFNJ1AY7X5azq,0,0,0,0,2
iM0PzWstEFrHqUuJSIK0TT8qdccm2h1H3caDNgvb,6,0,540,540,1
inLQ2q6bpggy8sZBrOc5WqUGVsKz4NU5pwykezsp,1,0,60,60,2
IrFUZz1i0gzy7RegKgaVRLvla5vxNLqXDewg35Id,3,0,150,150,2
iRItxEH6WqNkmjgDX74w2Bjd4ZzCLEpi1rFSKsMc,1,0,120,120,2
ITapqN1MlgWhqg1WSNJayOCsaht3c81QuOcrVaDx,1,0,60,60,1
ivdNRqTcF3UStCoDSipoBXRq8rCbrMmRwHNTmQa5,3,0,870,300,2
ivjCMW6pCz2EPWcQdWxZNU0ZZ8fErtPZunbahv1d,3,0,360,360,1
iwJctLZj2cNkOWTZKhADCnekodBipB7QszdaUJH6,4,0,180,180,1
iWsnbKvrFjWH4jlPjmOvb0C7wjOBeUTHL2QBfUU7,4,0,180,180,1
IXAFPpCtReFKw4V856HOXndismMeHBiUxJWHUXhu,2,0,120,120,1
Iyq5Lb0h3D2wfNXpm661Ek4vREEwmBlbhFTc25yw,2,0,120,120,1
j4fyOUCJdVUa0KhHXiTkZoFa6daxCvrV4Zkw7hym,0,0,0,0,2
j5aO65ezAuNwePrsg55plCyc4BNBMRUd3FcGwzjI,6,0,300,300,2
JC7YMPQma7MzQEFRQgat48agrsLbHmveSFiUc46b,1,0,90,90,2
jEtvHbeBe1CDZ4ONLg4WZlK4wQzUTKdObMjxYCUx,0,0,0,0,1
jfAnoZaGPk1r7RiXGl2CkXTEahIMlkX8RpveYsnq,4,0,180,180,1
jiUuamaOStun7nJbxwtorwE3f10Ie2voMHR5mNIb,3,0,180,180,2
jJbjwJx3FBpPPCoGla58hBaIQrstjRerk3CuS3Sz,1,0,150,150,1
JJSRM7XhydWZRKhcWkRb15wYkLhcDFOk5CxYRZIc,4,0,450,240,1
JkIIKAricOsb4FOrz8Pmo7VYZv8tmvpV06LbGwSU,0,1,30,30,1
JKIOSqG152GAMCd0W3Wj4yl5JZ5jx5CmMk0OpUaQ,2,0,120,120,2
JKuJ5QqenacbFwUCeaubwndruL72m6twh1xYuuSq,0,0,0,0,2
JOBB3AbBXysyeSFAs5WkwllA07iBrb8hBII3cBtB,4,0,210,210,2
jowzspd8bgu2G8pH6UyDRMCj27ae8nPskJ3xNon1,0,0,0,0,2
JRs4zrUjV7fY2CPVQxfrE8IAfiDkeCAGLXpDqAr5,2,0,330,240,1
jRuoqYNEZ1PhcL86sAabhq2grQlycgDUKonXRnVq,0,0,30,30,1
JSbxJaahVpvaUBbnBllNd6lPL508jlw4caKbppv1,0,0,30,30,1
jtx1Qec7uZMbJS7LA3jab5Is8lA1toOksuvhNbxT,9,0,720,720,2
JuobEwMvEdV12LehN50lZRQOderA4LAnqjVQNNbK,4,0,720,720,2
jVLnw5OT1l7osP2rnkDX8ugcLVtcjp4MjIdCFXPD,1,0,90,90,1
jZbA5L7UbPkslqZgTagM2cOxYOzO4Z2PJosZnMJJ,3,0,120,120,1
jZfDtjwjyJy7gfvyAApOoaI6NC1oiipBcCZR7BM8,1,0,90,90,1
